id,name,email,roll_number,role,branch,degree,graduation_year,location,skills,interests,projects,certifications,career_goal,target_role,target_industry,bio,career_journey,is_synthetic,synthetic_fields,profile_completeness,updated_at
11,Aditya Sharma,aditya.22mec0011@hitam.org,22MEC0011,STUDENT,Mechatronics,B.Tech,2026,Hyderabad,"Robotics, Embedded, C++","Robotics, Automation",,,Mechatronics Engineer,Mechatronics Engineer,Technology,"Year 2 B.Tech Mechatronics student at HITAM. Aspiring Mechatronics Engineer. Interested in Robotics, Automation.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
12,Pooja Rao,pooja.22bca0012@hitam.org,22BCA0012,STUDENT,BCA,BCA,2026,Hyderabad,"Python, Web Development, SQL","Full Stack Development, Databases",,,Web Developer,Web Developer,Technology,"Year 2 BCA BCA student at HITAM. Aspiring Web Developer. Interested in Full Stack Development, Databases.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
13,Rohit Singh,rohit.22com0013@hitam.org,22COM0013,STUDENT,Computer Science and Engineering,B.Tech,2026,Hyderabad,"Python, C, DSA, DBMS","Software Development, Problem Solving",,,Software Engineer,Software Engineer,Technology,"Year 2 B.Tech Computer Science and Engineering student at HITAM. Aspiring Software Engineer. Interested in Software Development, Problem Solving.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.7,2026-09-22
14,Kavya Iyer,kavya.22inf0014@hitam.org,22INF0014,STUDENT,Information Technology,B.Tech,2026,Hyderabad,"Python, Java, SQL, Git","Web Development, Cloud",,,Software Developer,Software Developer,Technology,"Year 2 B.Tech Information Technology student at HITAM. Aspiring Software Developer. Interested in Web Development, Cloud.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.7,2026-09-22
15,Siddharth Desai,siddharth.22ele0015@hitam.org,22ELE0015,STUDENT,Electronics and Communication Engineering,B.Tech,2026,Hyderabad,"Signals, Embedded, C","Signal Processing, Embedded Systems",,,Embedded Engineer,Embedded Engineer,Technology,"Year 2 B.Tech Electronics and Communication Engineering student at HITAM. Aspiring Embedded Engineer. Interested in Signal Processing, Embedded Systems.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
16,Divya Banerjee,divya.22cse0016@hitam.org,22CSE0016,STUDENT,CSE (AI),B.Tech,2026,Hyderabad,"Python, Machine Learning, Math, NumPy","Artificial Intelligence, Deep Learning",,,AI/ML Engineer,AI/ML Engineer,Technology,"Year 2 B.Tech CSE (AI) student at HITAM. Aspiring AI/ML Engineer. Interested in Artificial Intelligence, Deep Learning.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.7,2026-09-22
17,Manish Bose,manish.22cse0017@hitam.org,22CSE0017,STUDENT,CSE (Data Science),B.Tech,2026,Hyderabad,"Python, Pandas, SQL, Statistics","Analytics, Big Data",,,Data Scientist,Data Scientist,Technology,"Year 2 B.Tech CSE (Data Science) student at HITAM. Aspiring Data Scientist. Interested in Analytics, Big Data.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.7,2026-09-22
18,Shreya Verma,shreya.22cse0018@hitam.org,22CSE0018,STUDENT,CSE (Cyber Security),B.Tech,2026,Hyderabad,"Networking, Linux, Python","Ethical Hacking, Networks",,,Security Engineer,Security Engineer,Technology,"Year 2 B.Tech CSE (Cyber Security) student at HITAM. Aspiring Security Engineer. Interested in Ethical Hacking, Networks.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
19,Nikhil Patel,nikhil.22cse0019@hitam.org,22CSE0019,STUDENT,CSE (IoT),B.Tech,2026,Hyderabad,"C++, Embedded, Python","Smart Devices, Sensors",,,IoT Engineer,IoT Engineer,Technology,"Year 2 B.Tech CSE (IoT) student at HITAM. Aspiring IoT Engineer. Interested in Smart Devices, Sensors.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
20,Ananya Gupta,ananya.22mec0020@hitam.org,22MEC0020,STUDENT,Mechanical Engineering,B.Tech,2026,Hyderabad,"AutoCAD, Thermodynamics, SolidWorks","Manufacturing, Automotive",,,Mechanical Design Engineer,Mechanical Design Engineer,Technology,"Year 2 B.Tech Mechanical Engineering student at HITAM. Aspiring Mechanical Design Engineer. Interested in Manufacturing, Automotive.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
21,Harsha Menon,harsha.22ele0021@hitam.org,22ELE0021,STUDENT,Electrical Engineering,B.Tech,2026,Hyderabad,"Circuits, Power Systems, MATLAB","Power Systems, Renewables",,,Electrical Engineer,Electrical Engineer,Technology,"Year 2 B.Tech Electrical Engineering student at HITAM. Aspiring Electrical Engineer. Interested in Power Systems, Renewables.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
22,Meera Kulkarni,meera.22civ0022@hitam.org,22CIV0022,STUDENT,Civil Engineering,B.Tech,2026,Hyderabad,"AutoCAD, Surveying, STAAD","Infrastructure, Urban Planning",,,Civil Engineer,Civil Engineer,Technology,"Year 2 B.Tech Civil Engineering student at HITAM. Aspiring Civil Engineer. Interested in Infrastructure, Urban Planning.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
23,Varun Mukherjee,varun.22mec0023@hitam.org,22MEC0023,STUDENT,Mechatronics,B.Tech,2026,Hyderabad,"Robotics, Embedded, C++","Robotics, Automation",,,Mechatronics Engineer,Mechatronics Engineer,Technology,"Year 2 B.Tech Mechatronics student at HITAM. Aspiring Mechatronics Engineer. Interested in Robotics, Automation.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
24,Isha Sen,isha.22bca0024@hitam.org,22BCA0024,STUDENT,BCA,BCA,2026,Hyderabad,"Python, Web Development, SQL","Full Stack Development, Databases",,,Web Developer,Web Developer,Technology,"Year 2 BCA BCA student at HITAM. Aspiring Web Developer. Interested in Full Stack Development, Databases.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
25,Rohan Reddy,rohan.22com0025@hitam.org,22COM0025,STUDENT,Computer Science and Engineering,B.Tech,2026,Hyderabad,"Python, C, DSA, DBMS","Software Development, Problem Solving",,,Software Engineer,Software Engineer,Technology,"Year 2 B.Tech Computer Science and Engineering student at HITAM. Aspiring Software Engineer. Interested in Software Development, Problem Solving.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.7,2026-09-22
26,Tanya Kumar,tanya.22inf0026@hitam.org,22INF0026,STUDENT,Information Technology,B.Tech,2026,Hyderabad,"Python, Java, SQL, Git","Web Development, Cloud",,,Software Developer,Software Developer,Technology,"Year 2 B.Tech Information Technology student at HITAM. Aspiring Software Developer. Interested in Web Development, Cloud.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.7,2026-09-22
27,Yash Nair,yash.22ele0027@hitam.org,22ELE0027,STUDENT,Electronics and Communication Engineering,B.Tech,2026,Hyderabad,"Signals, Embedded, C","Signal Processing, Embedded Systems",,,Embedded Engineer,Embedded Engineer,Technology,"Year 2 B.Tech Electronics and Communication Engineering student at HITAM. Aspiring Embedded Engineer. Interested in Signal Processing, Embedded Systems.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
28,Nidhi Joshi,nidhi.22cse0028@hitam.org,22CSE0028,STUDENT,CSE (AI),B.Tech,2026,Hyderabad,"Python, Machine Learning, Math, NumPy","Artificial Intelligence, Deep Learning",,,AI/ML Engineer,AI/ML Engineer,Technology,"Year 2 B.Tech CSE (AI) student at HITAM. Aspiring AI/ML Engineer. Interested in Artificial Intelligence, Deep Learning.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.7,2026-09-22
29,Karthik Chatterjee,karthik.22cse0029@hitam.org,22CSE0029,STUDENT,CSE (Data Science),B.Tech,2026,Hyderabad,"Python, Pandas, SQL, Statistics","Analytics, Big Data",,,Data Scientist,Data Scientist,Technology,"Year 2 B.Tech CSE (Data Science) student at HITAM. Aspiring Data Scientist. Interested in Analytics, Big Data.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.7,2026-09-22
30,Deepika Das,deepika.22cse0030@hitam.org,22CSE0030,STUDENT,CSE (Cyber Security),B.Tech,2026,Hyderabad,"Networking, Linux, Python","Ethical Hacking, Networks",,,Security Engineer,Security Engineer,Technology,"Year 2 B.Tech CSE (Cyber Security) student at HITAM. Aspiring Security Engineer. Interested in Ethical Hacking, Networks.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
31,Akash Sharma,akash.22cse0031@hitam.org,22CSE0031,STUDENT,CSE (IoT),B.Tech,2026,Hyderabad,"C++, Embedded, Python","Smart Devices, Sensors",,,IoT Engineer,IoT Engineer,Technology,"Year 2 B.Tech CSE (IoT) student at HITAM. Aspiring IoT Engineer. Interested in Smart Devices, Sensors.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
32,Swati Rao,swati.22mec0032@hitam.org,22MEC0032,STUDENT,Mechanical Engineering,B.Tech,2026,Hyderabad,"AutoCAD, Thermodynamics, SolidWorks","Manufacturing, Automotive",,,Mechanical Design Engineer,Mechanical Design Engineer,Technology,"Year 2 B.Tech Mechanical Engineering student at HITAM. Aspiring Mechanical Design Engineer. Interested in Manufacturing, Automotive.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
33,Pranav Singh,pranav.22ele0033@hitam.org,22ELE0033,STUDENT,Electrical Engineering,B.Tech,2026,Hyderabad,"Circuits, Power Systems, MATLAB","Power Systems, Renewables",,,Electrical Engineer,Electrical Engineer,Technology,"Year 2 B.Tech Electrical Engineering student at HITAM. Aspiring Electrical Engineer. Interested in Power Systems, Renewables.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
34,Aishwarya Iyer,aishwarya.22civ0034@hitam.org,22CIV0034,STUDENT,Civil Engineering,B.Tech,2026,Hyderabad,"AutoCAD, Surveying, STAAD","Infrastructure, Urban Planning",,,Civil Engineer,Civil Engineer,Technology,"Year 2 B.Tech Civil Engineering student at HITAM. Aspiring Civil Engineer. Interested in Infrastructure, Urban Planning.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
35,Vivek Desai,vivek.22mec0035@hitam.org,22MEC0035,STUDENT,Mechatronics,B.Tech,2026,Hyderabad,"Robotics, Embedded, C++","Robotics, Automation",,,Mechatronics Engineer,Mechatronics Engineer,Technology,"Year 2 B.Tech Mechatronics student at HITAM. Aspiring Mechatronics Engineer. Interested in Robotics, Automation.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
36,Rashmi Banerjee,rashmi.22bca0036@hitam.org,22BCA0036,STUDENT,BCA,BCA,2026,Hyderabad,"Python, Web Development, SQL","Full Stack Development, Databases",,,Web Developer,Web Developer,Technology,"Year 2 BCA BCA student at HITAM. Aspiring Web Developer. Interested in Full Stack Development, Databases.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
37,Naveen Bose,naveen.22com0037@hitam.org,22COM0037,STUDENT,Computer Science and Engineering,B.Tech,2026,Hyderabad,"Python, C, DSA, DBMS","Software Development, Problem Solving",,,Software Engineer,Software Engineer,Technology,"Year 2 B.Tech Computer Science and Engineering student at HITAM. Aspiring Software Engineer. Interested in Software Development, Problem Solving.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.7,2026-09-22
38,Lakshmi Verma,lakshmi.22inf0038@hitam.org,22INF0038,STUDENT,Information Technology,B.Tech,2026,Hyderabad,"Python, Java, SQL, Git","Web Development, Cloud",,,Software Developer,Software Developer,Technology,"Year 2 B.Tech Information Technology student at HITAM. Aspiring Software Developer. Interested in Web Development, Cloud.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.7,2026-09-22
39,Abhishek Patel,abhishek.22ele0039@hitam.org,22ELE0039,STUDENT,Electronics and Communication Engineering,B.Tech,2026,Hyderabad,"Signals, Embedded, C","Signal Processing, Embedded Systems",,,Embedded Engineer,Embedded Engineer,Technology,"Year 2 B.Tech Electronics and Communication Engineering student at HITAM. Aspiring Embedded Engineer. Interested in Signal Processing, Embedded Systems.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
40,Preeti Gupta,preeti.22cse0040@hitam.org,22CSE0040,STUDENT,CSE (AI),B.Tech,2026,Hyderabad,"Python, Machine Learning, Math, NumPy","Artificial Intelligence, Deep Learning",,,AI/ML Engineer,AI/ML Engineer,Technology,"Year 2 B.Tech CSE (AI) student at HITAM. Aspiring AI/ML Engineer. Interested in Artificial Intelligence, Deep Learning.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.7,2026-09-22
41,Gaurav Menon,gaurav.22cse0041@hitam.org,22CSE0041,STUDENT,CSE (Data Science),B.Tech,2026,Hyderabad,"Python, Pandas, SQL, Statistics","Analytics, Big Data",,,Data Scientist,Data Scientist,Technology,"Year 2 B.Tech CSE (Data Science) student at HITAM. Aspiring Data Scientist. Interested in Analytics, Big Data.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.7,2026-09-22
42,Sakshi Kulkarni,sakshi.22cse0042@hitam.org,22CSE0042,STUDENT,CSE (Cyber Security),B.Tech,2026,Hyderabad,"Networking, Linux, Python","Ethical Hacking, Networks",,,Security Engineer,Security Engineer,Technology,"Year 2 B.Tech CSE (Cyber Security) student at HITAM. Aspiring Security Engineer. Interested in Ethical Hacking, Networks.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
43,Rajat Mukherjee,rajat.22cse0043@hitam.org,22CSE0043,STUDENT,CSE (IoT),B.Tech,2026,Hyderabad,"C++, Embedded, Python","Smart Devices, Sensors",,,IoT Engineer,IoT Engineer,Technology,"Year 2 B.Tech CSE (IoT) student at HITAM. Aspiring IoT Engineer. Interested in Smart Devices, Sensors.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
44,Anita Sen,anita.22mec0044@hitam.org,22MEC0044,STUDENT,Mechanical Engineering,B.Tech,2026,Hyderabad,"AutoCAD, Thermodynamics, SolidWorks","Manufacturing, Automotive",,,Mechanical Design Engineer,Mechanical Design Engineer,Technology,"Year 2 B.Tech Mechanical Engineering student at HITAM. Aspiring Mechanical Design Engineer. Interested in Manufacturing, Automotive.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
45,Suresh Reddy,suresh.22ele0045@hitam.org,22ELE0045,STUDENT,Electrical Engineering,B.Tech,2026,Hyderabad,"Circuits, Power Systems, MATLAB","Power Systems, Renewables",,,Electrical Engineer,Electrical Engineer,Technology,"Year 2 B.Tech Electrical Engineering student at HITAM. Aspiring Electrical Engineer. Interested in Power Systems, Renewables.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
46,Rekha Kumar,rekha.22civ0046@hitam.org,22CIV0046,STUDENT,Civil Engineering,B.Tech,2026,Hyderabad,"AutoCAD, Surveying, STAAD","Infrastructure, Urban Planning",,,Civil Engineer,Civil Engineer,Technology,"Year 2 B.Tech Civil Engineering student at HITAM. Aspiring Civil Engineer. Interested in Infrastructure, Urban Planning.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
47,Vinay Nair,vinay.22mec0047@hitam.org,22MEC0047,STUDENT,Mechatronics,B.Tech,2026,Hyderabad,"Robotics, Embedded, C++","Robotics, Automation",,,Mechatronics Engineer,Mechatronics Engineer,Technology,"Year 2 B.Tech Mechatronics student at HITAM. Aspiring Mechatronics Engineer. Interested in Robotics, Automation.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
48,Neelam Joshi,neelam.22bca0048@hitam.org,22BCA0048,STUDENT,BCA,BCA,2026,Hyderabad,"Python, Web Development, SQL","Full Stack Development, Databases",,,Web Developer,Web Developer,Technology,"Year 2 BCA BCA student at HITAM. Aspiring Web Developer. Interested in Full Stack Development, Databases.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
49,Alok Chatterjee,alok.22com0049@hitam.org,22COM0049,STUDENT,Computer Science and Engineering,B.Tech,2026,Hyderabad,"Python, C, DSA, DBMS","Software Development, Problem Solving",,,Software Engineer,Software Engineer,Technology,"Year 2 B.Tech Computer Science and Engineering student at HITAM. Aspiring Software Engineer. Interested in Software Development, Problem Solving.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.7,2026-09-22
50,Sunita Das,sunita.22inf0050@hitam.org,22INF0050,STUDENT,Information Technology,B.Tech,2026,Hyderabad,"Python, Java, SQL, Git","Web Development, Cloud",,,Software Developer,Software Developer,Technology,"Year 2 B.Tech Information Technology student at HITAM. Aspiring Software Developer. Interested in Web Development, Cloud.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.7,2026-09-22
51,Karan Sharma,karan.22ele0051@hitam.org,22ELE0051,STUDENT,Electronics and Communication Engineering,B.Tech,2026,Hyderabad,"Signals, Embedded, C","Signal Processing, Embedded Systems",,,Embedded Engineer,Embedded Engineer,Technology,"Year 2 B.Tech Electronics and Communication Engineering student at HITAM. Aspiring Embedded Engineer. Interested in Signal Processing, Embedded Systems.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
52,Sneha Rao,sneha.22cse0052@hitam.org,22CSE0052,STUDENT,CSE (AI),B.Tech,2026,Hyderabad,"Python, Machine Learning, Math, NumPy","Artificial Intelligence, Deep Learning",,,AI/ML Engineer,AI/ML Engineer,Technology,"Year 2 B.Tech CSE (AI) student at HITAM. Aspiring AI/ML Engineer. Interested in Artificial Intelligence, Deep Learning.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.7,2026-09-22
53,Arjun Singh,arjun.22cse0053@hitam.org,22CSE0053,STUDENT,CSE (Data Science),B.Tech,2026,Hyderabad,"Python, Pandas, SQL, Statistics","Analytics, Big Data",,,Data Scientist,Data Scientist,Technology,"Year 2 B.Tech CSE (Data Science) student at HITAM. Aspiring Data Scientist. Interested in Analytics, Big Data.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.7,2026-09-22
54,Riya Iyer,riya.22cse0054@hitam.org,22CSE0054,STUDENT,CSE (Cyber Security),B.Tech,2026,Hyderabad,"Networking, Linux, Python","Ethical Hacking, Networks",,,Security Engineer,Security Engineer,Technology,"Year 2 B.Tech CSE (Cyber Security) student at HITAM. Aspiring Security Engineer. Interested in Ethical Hacking, Networks.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
55,Neha Desai,neha.22cse0055@hitam.org,22CSE0055,STUDENT,CSE (IoT),B.Tech,2026,Hyderabad,"C++, Embedded, Python","Smart Devices, Sensors",,,IoT Engineer,IoT Engineer,Technology,"Year 2 B.Tech CSE (IoT) student at HITAM. Aspiring IoT Engineer. Interested in Smart Devices, Sensors.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
56,Anjali Banerjee,anjali.22mec0056@hitam.org,22MEC0056,STUDENT,Mechanical Engineering,B.Tech,2026,Hyderabad,"AutoCAD, Thermodynamics, SolidWorks","Manufacturing, Automotive",,,Mechanical Design Engineer,Mechanical Design Engineer,Technology,"Year 2 B.Tech Mechanical Engineering student at HITAM. Aspiring Mechanical Design Engineer. Interested in Manufacturing, Automotive.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
57,Vikram Bose,vikram.22ele0057@hitam.org,22ELE0057,STUDENT,Electrical Engineering,B.Tech,2026,Hyderabad,"Circuits, Power Systems, MATLAB","Power Systems, Renewables",,,Electrical Engineer,Electrical Engineer,Technology,"Year 2 B.Tech Electrical Engineering student at HITAM. Aspiring Electrical Engineer. Interested in Power Systems, Renewables.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
58,Amit Verma,amit.22civ0058@hitam.org,22CIV0058,STUDENT,Civil Engineering,B.Tech,2026,Hyderabad,"AutoCAD, Surveying, STAAD","Infrastructure, Urban Planning",,,Civil Engineer,Civil Engineer,Technology,"Year 2 B.Tech Civil Engineering student at HITAM. Aspiring Civil Engineer. Interested in Infrastructure, Urban Planning.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
59,Rahul Patel,rahul.22mec0059@hitam.org,22MEC0059,STUDENT,Mechatronics,B.Tech,2026,Hyderabad,"Robotics, Embedded, C++","Robotics, Automation",,,Mechatronics Engineer,Mechatronics Engineer,Technology,"Year 2 B.Tech Mechatronics student at HITAM. Aspiring Mechatronics Engineer. Interested in Robotics, Automation.",2022 → Admitted | Year 2 | Expected graduation 2026,True,"skills,interests,career_goal,target_role,bio,career_journey",0.65,2026-09-22
